/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:208: UserWarning: The parameter 'pretrained' is deprecated since 0.13 and may be removed in the future, please use 'weights' instead.
  warnings.warn(
/venv/main/lib/python3.12/site-packages/torchvision/models/_utils.py:223: UserWarning: Arguments other than a weight enum or `None` for 'weights' are deprecated since 0.13 and may be removed in the future. The current behavior is equivalent to passing `weights=ResNet50_Weights.IMAGENET1K_V1`. You can also use `weights=ResNet50_Weights.DEFAULT` to get the most up-to-date weights.
  warnings.warn(msg)
[38;5;247mic[39m[38;5;245m|[39m[38;5;245m [39m[38;5;36m'[39m[38;5;36mtest in MLPHead[39m[38;5;36m'[39m[38;5;245m,[39m[38;5;245m [39m[38;5;247mtest[39m[38;5;245m:[39m[38;5;245m [39m[38;5;100mFalse[39m
Loaded model from /workspace/VideoAlignment_forked/result/tennis_carl/checkpoints/checkpoint_epoch_00299.pth (epoch 299)
Device: cuda
/workspace/Motion_Instruction_Generation/alignment/coachme_carl_embedding/extract_embeddings_and_align.py:72: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  with torch.no_grad(), torch.cuda.amp.autocast():
[45/1116] p23_fvolley_s3.avi: 69fr -> aligned [0-68], expert [0-59], path_len=72, norm_cost=0.2320
[46/1116] p24_fvolley_s1.avi: 76fr -> aligned [0-75], expert [0-59], path_len=82, norm_cost=0.1818
[47/1116] p24_fvolley_s2.avi: 84fr -> aligned [0-83], expert [0-59], path_len=85, norm_cost=0.1743
[48/1116] p24_fvolley_s3.avi: 85fr -> aligned [0-84], expert [0-59], path_len=85, norm_cost=0.1923
[49/1116] p25_fvolley_s1.avi: 60fr -> aligned [0-59], expert [0-59], path_len=68, norm_cost=0.1339
[50/1116] p25_fvolley_s2.avi: 60fr -> aligned [0-59], expert [0-59], path_len=65, norm_cost=0.1036
[51/1116] p25_fvolley_s3.avi: 58fr -> aligned [0-57], expert [0-59], path_len=69, norm_cost=0.1247
[52/1116] p26_fvolley_s1.avi: 67fr -> aligned [0-66], expert [0-59], path_len=73, norm_cost=0.0867
[53/1116] p26_fvolley_s2.avi: 65fr -> aligned [0-64], expert [0-59], path_len=71, norm_cost=0.1023
[54/1116] p26_fvolley_s3.avi: 64fr -> aligned [0-63], expert [0-59], path_len=70, norm_cost=0.1211
[55/1116] p27_fvolley_s1.avi: 71fr -> aligned [0-70], expert [0-59], path_len=74, norm_cost=0.1404
[56/1116] p27_fvolley_s2.avi: 69fr -> aligned [0-68], expert [0-59], path_len=76, norm_cost=0.1839
[57/1116] p27_fvolley_s3.avi: 81fr -> aligned [0-80], expert [0-59], path_len=87, norm_cost=0.2373
[58/1116] p28_fvolley_s1.avi: 60fr -> aligned [0-59], expert [0-59], path_len=67, norm_cost=0.2531
[59/1116] p28_fvolley_s2.avi: 65fr -> aligned [0-64], expert [0-59], path_len=70, norm_cost=0.3163
[60/1116] p28_fvolley_s3.avi: 64fr -> aligned [0-63], expert [0-59], path_len=71, norm_cost=0.3132
[61/1116] p29_fvolley_s1.avi: 77fr -> aligned [0-76], expert [0-59], path_len=79, norm_cost=0.1447
[62/1116] p29_fvolley_s2.avi: 56fr -> aligned [0-55], expert [0-59], path_len=68, norm_cost=0.2643
[63/1116] p29_fvolley_s3.avi: 72fr -> aligned [0-71], expert [0-59], path_len=72, norm_cost=0.0716
[64/1116] p2_fvolley_s1.avi: 77fr -> aligned [0-76], expert [0-59], path_len=77, norm_cost=0.1482
[65/1116] p2_fvolley_s2.avi: 71fr -> aligned [0-70], expert [0-59], path_len=75, norm_cost=0.1299
[66/1116] p2_fvolley_s3.avi: 76fr -> aligned [0-75], expert [0-59], path_len=81, norm_cost=0.1428
[67/1116] p30_fvolley_s1.avi: 89fr -> aligned [0-88], expert [0-59], path_len=92, norm_cost=0.4849
[68/1116] p30_fvolley_s2.avi: 77fr -> aligned [0-76], expert [0-59], path_len=89, norm_cost=0.6557
[69/1116] p30_fvolley_s3.avi: 97fr -> aligned [0-96], expert [0-59], path_len=97, norm_cost=0.4976
[70/1116] p31_fvolley_s1.avi: 77fr -> aligned [0-76], expert [0-59], path_len=77, norm_cost=0.2855
[71/1116] p31_fvolley_s2.avi: 77fr -> aligned [0-76], expert [0-59], path_len=80, norm_cost=0.3875
[72/1116] p31_fvolley_s3.avi: 71fr -> aligned [0-70], expert [0-59], path_len=77, norm_cost=0.4124
[73/1116] p3_fvolley_s1.avi: 74fr -> aligned [0-73], expert [0-59], path_len=76, norm_cost=0.1059
[74/1116] p3_fvolley_s2.avi: 85fr -> aligned [0-84], expert [0-59], path_len=85, norm_cost=0.1185
[75/1116] p3_fvolley_s3.avi: 82fr -> aligned [0-81], expert [0-59], path_len=82, norm_cost=0.1207
[76/1116] p4_fvolley_s1.avi: 77fr -> aligned [0-76], expert [0-59], path_len=78, norm_cost=0.1614
[77/1116] p4_fvolley_s2.avi: 81fr -> aligned [0-80], expert [0-59], path_len=81, norm_cost=0.1149
[78/1116] p4_fvolley_s3.avi: 86fr -> aligned [0-85], expert [0-59], path_len=86, norm_cost=0.1800
[79/1116] p5_fvolley_s1.avi: 73fr -> aligned [0-72], expert [0-59], path_len=73, norm_cost=0.5366
[80/1116] p5_fvolley_s2.avi: 76fr -> aligned [0-75], expert [0-59], path_len=76, norm_cost=0.5553
[81/1116] p5_fvolley_s3.avi: 80fr -> aligned [0-79], expert [0-59], path_len=80, norm_cost=0.4515
[82/1116] p6_fvolley_s1.avi: 63fr -> aligned [0-62], expert [0-59], path_len=66, norm_cost=0.1777
[83/1116] p6_fvolley_s2.avi: 60fr -> aligned [0-59], expert [0-59], path_len=66, norm_cost=0.4224
[84/1116] p6_fvolley_s3.avi: 56fr -> aligned [0-55], expert [0-59], path_len=65, norm_cost=0.4463
[85/1116] p7_fvolley_s1.avi: 65fr -> aligned [0-64], expert [0-59], path_len=70, norm_cost=0.1526
[86/1116] p7_fvolley_s2.avi: 66fr -> aligned [0-65], expert [0-59], path_len=68, norm_cost=0.1154
[87/1116] p7_fvolley_s3.avi: 74fr -> aligned [0-73], expert [0-59], path_len=74, norm_cost=0.1111
[88/1116] p8_fvolley_s1.avi: 74fr -> aligned [0-73], expert [0-59], path_len=74, norm_cost=0.1855
[89/1116] p8_fvolley_s2.avi: 69fr -> aligned [0-68], expert [0-59], path_len=69, norm_cost=0.1594
[90/1116] p8_fvolley_s3.avi: 61fr -> aligned [0-60], expert [0-59], path_len=66, norm_cost=0.3389
[91/1116] p9_fvolley_s1.avi: 88fr -> aligned [0-87], expert [0-59], path_len=88, norm_cost=0.1203
[92/1116] p9_fvolley_s2.avi: 85fr -> aligned [0-84], expert [0-59], path_len=85, norm_cost=0.1669
[93/1116] p9_fvolley_s3.avi: 79fr -> aligned [0-78], expert [0-59], path_len=79, norm_cost=0.2433
[94/1116] p10_serkick_s1.avi: 88fr -> aligned [0-87], expert [0-91], path_len=95, norm_cost=0.2424
[95/1116] p10_serkick_s2.avi: 94fr -> aligned [0-93], expert [0-91], path_len=98, norm_cost=0.1020
[96/1116] p10_serkick_s3.avi: 92fr -> aligned [0-91], expert [0-91], path_len=104, norm_cost=0.2128
[97/1116] p11_serkick_s1.avi: 65fr -> aligned [0-64], expert [0-91], path_len=92, norm_cost=0.4331
[98/1116] p11_serkick_s2.avi: 72fr -> aligned [0-71], expert [0-91], path_len=92, norm_cost=0.2245
[99/1116] p11_serkick_s3.avi: 70fr -> aligned [0-69], expert [0-91], path_len=92, norm_cost=0.3404
[100/1116] p12_serkick_s1.avi: 82fr -> aligned [0-81], expert [0-91], path_len=94, norm_cost=0.1737
[101/1116] p12_serkick_s2.avi: 75fr -> aligned [0-74], expert [0-91], path_len=94, norm_cost=0.1344
[102/1116] p12_serkick_s3.avi: 81fr -> aligned [0-80], expert [0-91], path_len=95, norm_cost=0.1168
[103/1116] p13_serkick_s1.avi: 81fr -> aligned [0-80], expert [0-91], path_len=95, norm_cost=0.1609
[104/1116] p13_serkick_s2.avi: 83fr -> aligned [0-82], expert [0-91], path_len=92, norm_cost=0.1887
[105/1116] p13_serkick_s3.avi: 81fr -> aligned [0-80], expert [0-91], path_len=93, norm_cost=0.1325
[106/1116] p14_serkick_s1.avi: 87fr -> aligned [0-86], expert [0-91], path_len=100, norm_cost=0.1672
[107/1116] p14_serkick_s2.avi: 85fr -> aligned [0-84], expert [0-91], path_len=95, norm_cost=0.1646
[108/1116] p14_serkick_s3.avi: 76fr -> aligned [0-75], expert [0-91], path_len=92, norm_cost=0.1404
[109/1116] p15_serkick_s1.avi: 85fr -> aligned [0-84], expert [0-91], path_len=92, norm_cost=0.0779
[110/1116] p15_serkick_s2.avi: 77fr -> aligned [0-76], expert [0-91], path_len=92, norm_cost=0.0638
[111/1116] p15_serkick_s3.avi: 87fr -> aligned [0-86], expert [0-91], path_len=95, norm_cost=0.0714
[112/1116] p16_serkick_s1.avi: 102fr -> aligned [0-101], expert [0-91], path_len=105, norm_cost=0.1467
[113/1116] p16_serkick_s2.avi: 95fr -> aligned [0-94], expert [0-91], path_len=107, norm_cost=0.1388
[114/1116] p16_serkick_s3.avi: 85fr -> aligned [0-84], expert [0-91], path_len=98, norm_cost=0.1144
[115/1116] p17_serkick_s1.avi: 66fr -> aligned [0-65], expert [0-91], path_len=92, norm_cost=0.2514
[116/1116] p17_serkick_s2.avi: 55fr -> aligned [0-54], expert [0-91], path_len=92, norm_cost=0.4172
[117/1116] p17_serkick_s3.avi: 63fr -> aligned [0-62], expert [0-91], path_len=92, norm_cost=0.3722
[118/1116] p18_serkick_s1.avi: 75fr -> aligned [0-74], expert [0-91], path_len=93, norm_cost=0.2133
[119/1116] p18_serkick_s2.avi: 96fr -> aligned [0-95], expert [0-91], path_len=100, norm_cost=0.1793
[120/1116] p18_serkick_s3.avi: 92fr -> aligned [0-91], expert [0-91], path_len=97, norm_cost=0.1629
[121/1116] p19_serkick_s1.avi: 90fr -> aligned [0-89], expert [0-91], path_len=99, norm_cost=0.1867
[122/1116] p19_serkick_s2.avi: 79fr -> aligned [0-78], expert [0-91], path_len=92, norm_cost=0.1304
[123/1116] p19_serkick_s3.avi: 77fr -> aligned [0-76], expert [0-91], path_len=94, norm_cost=0.1478
[124/1116] p1_serkick_s1.avi: 82fr -> aligned [0-81], expert [0-91], path_len=95, norm_cost=0.1719
[125/1116] p1_serkick_s2.avi: 84fr -> aligned [0-83], expert [0-91], path_len=96, norm_cost=0.3150
[126/1116] p1_serkick_s3.avi: 71fr -> aligned [0-70], expert [0-91], path_len=93, norm_cost=0.2118
[127/1116] p20_serkick_s1.avi: 80fr -> aligned [0-79], expert [0-91], path_len=94, norm_cost=0.2562
[128/1116] p20_serkick_s2.avi: 98fr -> aligned [0-97], expert [0-91], path_len=103, norm_cost=0.3256
[129/1116] p20_serkick_s3.avi: 84fr -> aligned [0-83], expert [0-91], path_len=94, norm_cost=0.3196
[130/1116] p21_serkick_s1.avi: 71fr -> aligned [0-70], expert [0-91], path_len=92, norm_cost=0.0982
[131/1116] p21_serkick_s2.avi: 77fr -> aligned [0-76], expert [0-91], path_len=94, norm_cost=0.1212
[132/1116] p21_serkick_s3.avi: 68fr -> aligned [0-67], expert [0-91], path_len=92, norm_cost=0.0903
[133/1116] p22_serkick_s1.avi: 86fr -> aligned [0-85], expert [0-91], path_len=93, norm_cost=0.0921
[134/1116] p22_serkick_s2.avi: 85fr -> aligned [0-84], expert [0-91], path_len=94, norm_cost=0.0942
[135/1116] p22_serkick_s3.avi: 82fr -> aligned [0-81], expert [0-91], path_len=93, norm_cost=0.0798
[136/1116] p23_serkick_s1.avi: 81fr -> aligned [0-80], expert [0-91], path_len=93, norm_cost=0.0993
[137/1116] p23_serkick_s2.avi: 86fr -> aligned [0-85], expert [0-91], path_len=97, norm_cost=0.2125
[138/1116] p23_serkick_s3.avi: 82fr -> aligned [0-81], expert [0-91], path_len=94, norm_cost=0.1376
[139/1116] p24_serkick_s1.avi: 96fr -> aligned [0-95], expert [0-91], path_len=102, norm_cost=0.1051
[140/1116] p24_serkick_s2.avi: 103fr -> aligned [0-102], expert [0-91], path_len=106, norm_cost=0.1090
[141/1116] p24_serkick_s3.avi: 92fr -> aligned [0-91], expert [0-91], path_len=94, norm_cost=0.0807
[142/1116] p25_serkick_s1.avi: 82fr -> aligned [0-81], expert [0-91], path_len=93, norm_cost=0.2571
[143/1116] p25_serkick_s2.avi: 69fr -> aligned [0-68], expert [0-91], path_len=93, norm_cost=0.1444
[144/1116] p25_serkick_s3.avi: 68fr -> aligned [0-67], expert [0-91], path_len=92, norm_cost=0.1329
[145/1116] p26_serkick_s1.avi: 89fr -> aligned [0-88], expert [0-91], path_len=94, norm_cost=0.0913
[146/1116] p26_serkick_s2.avi: 99fr -> aligned [0-98], expert [0-91], path_len=101, norm_cost=0.1579
[147/1116] p26_serkick_s3.avi: 95fr -> aligned [0-94], expert [0-91], path_len=96, norm_cost=0.1137
[148/1116] p27_serkick_s1.avi: 61fr -> aligned [0-60], expert [0-91], path_len=92, norm_cost=0.1556
[149/1116] p27_serkick_s2.avi: 64fr -> aligned [0-63], expert [0-91], path_len=92, norm_cost=0.1644
[150/1116] p27_serkick_s3.avi: 73fr -> aligned [0-72], expert [0-91], path_len=92, norm_cost=0.2690
[151/1116] p28_serkick_s1.avi: 67fr -> aligned [0-66], expert [0-91], path_len=95, norm_cost=0.2287
[152/1116] p28_serkick_s2.avi: 80fr -> aligned [0-79], expert [0-91], path_len=94, norm_cost=0.1780
[153/1116] p28_serkick_s3.avi: 85fr -> aligned [0-84], expert [0-91], path_len=96, norm_cost=0.1584
